score,time,action
11-9,P1 01:57:00,"4, FERNANDA MIDAGLIA DE LEON, 2pt jumpshot"
11-9,P1 01:57:00,Rebote defensivo
11-9,P1 01:57:00,"15, FLORENCIA SOMMA, Sustitución (sale)"
11-9,P1 01:57:00,"22, AILEN SOSA, Sustitución (ingresa)"
11-9,P1 01:30:00,"9, JOAQUINA GREGORIO, 2pt jumpshot"
11-9,P1 01:30:00,"8, CAROLINA FERNANDEZ, Bloqueo"
11-9,P1 01:26:00,"8, CAROLINA FERNANDEZ, Rebote defensivo"
11-11,,"11, SABINA BELLO, 2pt bandeja  convertido"
11-11,P1 00:56:50,"9, JOAQUINA GREGORIO, 3pt"
11-11,P1 00:55:10,"4, FERNANDA MIDAGLIA DE LEON, Rebote defensivo"
11-11,P1 00:55:10,"6, ANA CLARA PAZ, Falta personal"
11-11,P1 00:55:10,"4, FERNANDA MIDAGLIA DE LEON, Falta recibida"
11-11,P1 00:55:10,"30, ABRIL MIERES, Sustitución (sale)"
11-11,P1 00:55:10,"14, MARTINA MARIÑO, Sustitución (ingresa)"
11-12,,"4, FERNANDA MIDAGLIA DE LEON, Lanzamiento libre 1 de 2  convertido"
11-13,,"4, FERNANDA MIDAGLIA DE LEON, Lanzamiento libre 2 de 2  convertido"
13-13,,"14, MARTINA MARIÑO, 2pt bandeja con manejo  convertido"
13-13,P1 00:44:90,"6, ANA CLARA PAZ, Asistencia"
13-13,P1 00:20:00,"22, AILEN SOSA, 3pt"
13-13,P1 00:20:00,Rebote defensivo
13-13,P1 00:07:90,"6, ANA CLARA PAZ, 3pt"
13-13,P1 00:07:20,"4, FERNANDA MIDAGLIA DE LEON, Rebote defensivo"
13-13,P1 00:07:20,"4, FERNANDA MIDAGLIA DE LEON, Pérdida caminar"
13-13,P1 00:01:40,"11, SABINA BELLO, Falta personal"
13-13,P1 00:01:40,"6, ANA CLARA PAZ, Falta recibida"
13-13,,Fin del período
13-13,P2 10:00:00,"8, CAROLINA FERNANDEZ, Sustitución (sale)"
13-13,P2 10:00:00,"11, SABINA BELLO, Sustitución (sale)"
13-13,P2 10:00:00,"15, FLORENCIA SOMMA, Sustitución (ingresa)"
13-13,P2 10:00:00,"20, AGUSTINA ACEREDO, Sustitución (ingresa)"
13-13,,Inicio del período
13-13,P2 09:47:00,"14, EMILIA LARRE BORGES, Falta personal"
13-13,P2 09:47:00,"6, ANA CLARA PAZ, Falta recibida"
13-13,P2 09:47:00,"6, ANA CLARA PAZ, Lanzamiento libre 1 de 2"
13-13,P2 09:47:00,"6, ANA CLARA PAZ, Lanzamiento libre 2 de 2"
13-13,P2 09:47:00,"15, FLORENCIA SOMMA, Rebote defensivo"
13-13,P2 09:29:00,"14, EMILIA LARRE BORGES, 3pt"
13-13,P2 09:26:00,"9, JOAQUINA GREGORIO, Rebote defensivo"
15-13,,"14, MARTINA MARIÑO, 2pt bandeja  convertido"
15-13,P2 09:23:00,"9, JOAQUINA GREGORIO, Asistencia"
15-13,P2 08:58:00,"22, AILEN SOSA, Pérdida caminar"
17-13,,"6, ANA CLARA PAZ, 2pt bandeja  convertido"
17-13,P2 08:24:00,"3, SOFIA BERGDAHL, Falta personal"
17-13,P2 08:24:00,"15, FLORENCIA SOMMA, Falta recibida"
17-13,P2 08:24:00,"14, EMILIA LARRE BORGES, Sustitución (sale)"
17-13,P2 08:24:00,"22, AILEN SOSA, Sustitución (sale)"
17-13,P2 08:24:00,"8, CAROLINA FERNANDEZ, Sustitución (ingresa)"
17-13,P2 08:24:00,"11, SABINA BELLO, Sustitución (ingresa)"
17-16,,"11, SABINA BELLO, 3pt  convertido"
17-16,P2 07:58:00,"27, ROMINA DALESANDRO, 2pt bandeja"
17-16,P2 07:56:00,"15, FLORENCIA SOMMA, Rebote defensivo"
17-16,P2 07:44:00,"8, CAROLINA FERNANDEZ, 3pt"
17-16,P2 07:42:00,"3, SOFIA BERGDAHL, Rebote defensivo"
19-16,,"27, ROMINA DALESANDRO, 2pt bandeja con manejo  convertido"
19-16,P2 07:25:00,"11, SABINA BELLO, Falta personal"
19-16,P2 07:25:00,"27, ROMINA DALESANDRO, Falta recibida"
19-16,P2 07:25:00,"27, ROMINA DALESANDRO, Lanzamiento libre 1 de 1"
19-16,P2 07:25:00,"4, FERNANDA MIDAGLIA DE LEON, Rebote defensivo"
19-16,P2 07:10:00,"9, JOAQUINA GREGORIO, Falta personal"
19-16,P2 07:10:00,"20, AGUSTINA ACEREDO, Falta recibida"
19-16,P2 06:56:00,"4, FERNANDA MIDAGLIA DE LEON, 3pt"
19-16,P2 06:53:00,"14, MARTINA MARIÑO, Rebote defensivo"
19-16,P2 06:52:00,"4, FERNANDA MIDAGLIA DE LEON, Falta personal"
19-16,P2 06:52:00,"9, JOAQUINA GREGORIO, Falta recibida"
19-16,P2 06:40:00,"6, ANA CLARA PAZ, 2pt bandeja"
19-16,P2 06:40:00,Salto lodgeball
19-16,P2 06:40:00,Rebote defensivo
19-16,P2 06:40:00,"3, SOFIA BERGDAHL, Sustitución (sale)"
